id,disease,location,hospital_name,age_group,treatment_type,budget,total_patient,successful_patients,success_rate,rating
7395,Arthritis,Faridkot,Faridkot Life Care Centre,Adult,Chemotherapy,476150,3761,2687,71.44,3.3
7396,Thyroid Disorder,Hoshiarpur,Hoshiarpur City Hospital,Adult,Medication,73453,4184,4097,97.92,4.5
7397,Dengue,Nawanshahr,Nawanshahr Prime Healthcare,Adult,ICU Care,231890,4416,3404,77.08,4.5
7398,Asthma,Malerkotla,Malerkotla Multicare Hospital,Child,Surgery,206960,1373,891,64.89,2.6
7399,Tuberculosis,Khanna,Khanna Prime Healthcare,Child,Radiotherapy,372407,2123,1745,82.2,3.0
7400,COVID-19,Nawanshahr,Nawanshahr Prime Healthcare,Young Adult,Radiotherapy,397718,1696,1097,64.68,2.5
7401,Typhoid,Moga,Moga Prime Healthcare,Child,Medication,493764,1728,1092,63.19,5.0
7402,Tuberculosis,Bathinda,Bathinda Prime Healthcare,Middle Age,Vaccination,26753,4614,4057,87.93,3.9
7403,Kidney Disease,Rupnagar,Rupnagar Multicare Hospital,Adult,Counselling,241645,1598,1297,81.16,4.7
7404,Pneumonia,Firozpur,Firozpur Health Centre,Teenager,Chemotherapy,57337,2194,1896,86.42,3.2
7405,COVID-19,Faridkot,Faridkot Health Centre,Child,Physiotherapy,186202,4540,3611,79.54,2.6
7406,Arthritis,Bathinda,Bathinda Medical Point,Child,Counselling,474437,4245,2767,65.18,3.9
7407,Diabetes,Khanna,Khanna Multicare Hospital,Senior Citizen,Counselling,462599,4840,3140,64.88,3.3
7408,Pneumonia,Firozpur,Firozpur City Hospital,Child,Dialysis,417907,538,464,86.25,3.4
7409,COVID-19,Khanna,Khanna City Hospital,Teenager,Radiotherapy,256238,2284,2102,92.03,2.9
7410,Thyroid Disorder,Nawanshahr,Nawanshahr Prime Healthcare,Teenager,Vaccination,138514,641,477,74.41,2.9
7411,Typhoid,Sangrur,Sangrur Multicare Hospital,Teenager,Dialysis,367854,2236,2046,91.5,3.0
7412,Pneumonia,Rupnagar,Rupnagar Health Centre,Young Adult,Chemotherapy,319416,3309,2011,60.77,4.6
7413,Diabetes,Bathinda,Bathinda Multicare Hospital,Middle Age,Surgery,242790,2369,2145,90.54,4.1
7414,Cancer,Bathinda,Bathinda Multicare Hospital,Teenager,Counselling,371631,3328,3077,92.46,4.1
7415,Typhoid,Tarn Taran,Tarn Taran Health Centre,Adult,ICU Care,453868,1499,918,61.24,3.9
7416,Heart Disease,Kapurthala,Kapurthala City Hospital,Teenager,Radiotherapy,415698,3197,2716,84.95,2.8
7417,Arthritis,Gurdaspur,Gurdaspur Health Centre,Middle Age,Medication,322426,4049,2432,60.06,2.9
7418,Liver Disease,Nawanshahr,Nawanshahr Prime Healthcare,Senior Citizen,Medication,323449,3616,3549,98.15,3.1
7419,Liver Disease,Patiala,Patiala Life Care Hospital,Child,Surgery,250985,2848,2144,75.28,3.1
7420,Heart Disease,Mansa,Mansa City Hospital,Senior Citizen,Dialysis,474400,1719,1275,74.17,3.7
7421,Kidney Disease,Muktsar,Muktsar City Hospital,Adult,Medication,166679,1980,1666,84.14,4.4
7422,Typhoid,Moga,Moga Life Care Hospital,Teenager,Dialysis,108972,3877,2502,64.53,3.7
7423,Tuberculosis,Ludhiana,Ludhiana City Hospital,Teenager,Chemotherapy,124099,253,151,59.68,3.0
7424,Dengue,Mohali,Mohali Prime Medical Centre,Middle Age,Vaccination,147400,3695,2731,73.91,4.8
7425,Thyroid Disorder,Jalandhar,Jalandhar Prime Hospital,Teenager,Surgery,488902,872,705,80.85,2.7
7426,Asthma,Sangrur,Sangrur Life Care Centre,Middle Age,Radiotherapy,287792,2516,1670,66.38,2.9
7427,Asthma,Tarn Taran,Tarn Taran Prime Hospital,Child,Dialysis,163666,1788,1090,60.96,4.0
7428,Asthma,Nawanshahr,Nawanshahr City Hospital,Senior Citizen,Radiotherapy,367503,4706,3063,65.09,3.1
7429,Cancer,Moga,Moga Prime Healthcare,Young Adult,Chemotherapy,455293,3156,2777,87.99,3.7
7430,Pneumonia,Hoshiarpur,Hoshiarpur Multicare Hospital,Adult,Chemotherapy,177333,733,593,80.9,3.3
7431,Asthma,Mohali,Mohali Advanced Hospital,Teenager,Dialysis,365154,1822,1409,77.33,3.8
7432,Malaria,Faridkot,Faridkot Health Centre,Senior Citizen,Counselling,239280,4704,3255,69.2,4.3
7433,Tuberculosis,Nawanshahr,Nawanshahr Prime Healthcare,Adult,Emergency Care,170299,4553,3222,70.77,5.0
7434,Heart Disease,Pathankot,Pathankot Multicare Hospital,Child,Counselling,265150,51,51,100.0,3.5
7435,Pneumonia,Amritsar,Amritsar Medical Point,Child,Physiotherapy,107906,675,570,84.44,3.2
7436,Pneumonia,Bathinda,Bathinda Multicare Hospital,Adult,ICU Care,112149,118,98,83.05,4.7
7437,Dengue,Amritsar,Amritsar City Hospital,Teenager,Physiotherapy,265806,221,156,70.59,4.1
7438,Pneumonia,Rupnagar,Rupnagar City Hospital,Child,Medication,359293,2886,1987,68.85,3.5
7439,Asthma,Nawanshahr,Nawanshahr Prime Healthcare,Adult,Radiotherapy,92625,3854,2624,68.09,4.3
7440,Pneumonia,Mohali,Mohali Multicare Hospital,Senior Citizen,Dialysis,498429,2383,1636,68.65,3.5
7441,Cancer,Sangrur,Sangrur Life Care Centre,Adult,Counselling,232278,3972,3732,93.96,3.3
7442,Dengue,Muktsar,Muktsar Health Centre,Middle Age,ICU Care,219086,1643,989,60.19,4.7
7443,Asthma,Jalandhar,Jalandhar Prime Hospital,Teenager,Physiotherapy,260950,4645,4295,92.47,4.5
7444,Arthritis,Malerkotla,Malerkotla Health Centre,Child,Emergency Care,5611,1450,1297,89.45,4.2
7445,Liver Disease,Muktsar,Muktsar City Hospital,Middle Age,Vaccination,41968,2479,2364,95.36,4.0
7446,Malaria,Nawanshahr,Nawanshahr City Hospital,Middle Age,Dialysis,67719,2574,2485,96.54,3.4
7447,COVID-19,Patiala,Patiala Advanced Medical Centre,Child,Chemotherapy,290591,2369,2018,85.18,4.9
7448,Dengue,Abohar,Abohar Health Centre,Child,Vaccination,275236,1556,1094,70.31,4.9
7449,COVID-19,Mansa,Mansa Multicare Hospital,Adult,Surgery,165877,743,450,60.57,3.9
7450,Hypertension,Barnala,Barnala Prime Hospital,Senior Citizen,Dialysis,327443,1440,1058,73.47,2.9
7451,Kidney Disease,Faridkot,Faridkot Prime Hospital,Middle Age,Medication,482679,4532,3752,82.79,3.3
7452,Liver Disease,Ludhiana,Ludhiana Healthcare Centre,Child,Chemotherapy,33755,1873,1415,75.55,4.3
7453,Hypertension,Muktsar,Muktsar City Hospital,Teenager,Medication,76994,3890,2769,71.18,2.6
7454,Thyroid Disorder,Tarn Taran,Tarn Taran Health Centre,Teenager,ICU Care,332850,3020,2986,98.87,4.6
7455,COVID-19,Abohar,Abohar City Hospital,Senior Citizen,Physiotherapy,315661,1312,823,62.73,3.7
7456,Diabetes,Bathinda,Bathinda City Hospital,Teenager,Chemotherapy,199875,4583,3056,66.68,3.1
7457,Hypertension,Rupnagar,Rupnagar Multicare Hospital,Child,Surgery,131403,4822,3911,81.11,4.4
7458,Kidney Disease,Muktsar,Muktsar Health Centre,Senior Citizen,Emergency Care,320418,1338,1251,93.5,3.9
7459,Typhoid,Mansa,Mansa Prime Hospital,Middle Age,Physiotherapy,133903,3257,1969,60.45,4.1
7460,Heart Disease,Abohar,Abohar Multicare Hospital,Teenager,Counselling,408899,3189,2748,86.17,3.3
7461,Cancer,Firozpur,Firozpur Multicare Hospital,Young Adult,ICU Care,202553,2825,2636,93.31,3.2
7462,Heart Disease,Amritsar,Amritsar Medical Point,Child,Vaccination,281738,579,426,73.58,4.2
7463,Arthritis,Kapurthala,Kapurthala Multicare Hospital,Middle Age,Counselling,333330,1060,936,88.3,3.8
7464,Diabetes,Mansa,Mansa Health Centre,Teenager,Counselling,274448,698,450,64.47,3.0
7465,Pneumonia,Amritsar,Amritsar General Care Hospital,Teenager,Chemotherapy,311714,1030,766,74.37,4.7
7466,Arthritis,Rupnagar,Rupnagar City Hospital,Child,Emergency Care,314792,3410,2556,74.96,4.7
7467,Diabetes,Amritsar,Amritsar Advanced Hospital,Adult,Radiotherapy,304609,2833,1807,63.78,4.7
7468,Malaria,Firozpur,Firozpur Health Centre,Teenager,Emergency Care,55760,4888,3272,66.94,3.9
7469,Heart Disease,Tarn Taran,Tarn Taran City Hospital,Senior Citizen,ICU Care,152309,2210,2106,95.29,4.8
7470,Cancer,Sangrur,Sangrur City Hospital,Adult,Counselling,116727,3396,2403,70.76,3.2
7471,Malaria,Ludhiana,Ludhiana Life Hospital,Child,Vaccination,126972,1137,805,70.8,3.8
7472,Diabetes,Hoshiarpur,Hoshiarpur Multicare Hospital,Senior Citizen,Dialysis,258114,2460,1554,63.17,2.6
7473,Thyroid Disorder,Muktsar,Muktsar Prime Healthcare,Teenager,Physiotherapy,222262,2791,2222,79.61,2.8
7474,Tuberculosis,Faridkot,Faridkot Health Centre,Middle Age,Chemotherapy,280978,2916,1920,65.84,4.5
7475,Typhoid,Pathankot,Pathankot Multicare Hospital,Middle Age,Surgery,423880,1021,822,80.51,3.2
7476,Dengue,Gurdaspur,Gurdaspur Prime Healthcare,Middle Age,Radiotherapy,427531,3972,2600,65.46,4.6
7477,Arthritis,Mohali,Mohali Multispeciality Hospital,Child,Medication,470235,1506,1006,66.8,4.8
7478,Cancer,Fazilka,Fazilka Multicare Hospital,Child,Surgery,293837,3061,2912,95.13,2.7
7479,Hypertension,Patiala,Patiala Medical Centre,Young Adult,Vaccination,28929,1128,773,68.53,4.4
7480,Thyroid Disorder,Moga,Moga Health Centre,Young Adult,Counselling,213252,4222,2866,67.88,3.8
7481,Arthritis,Amritsar,Amritsar City Hospital,Young Adult,Medication,286988,981,659,67.18,4.2
7482,Asthma,Faridkot,Faridkot Prime Hospital,Child,Vaccination,264616,3183,2718,85.39,2.6
7483,Dengue,Mansa,Mansa City Hospital,Middle Age,Counselling,99410,3844,3388,88.14,4.7
7484,Malaria,Kapurthala,Kapurthala Multicare Hospital,Adult,ICU Care,409473,3817,2473,64.79,3.9
7485,Malaria,Nawanshahr,Nawanshahr Health Centre,Middle Age,Chemotherapy,166046,4134,3851,93.15,4.7
7486,Tuberculosis,Malerkotla,Malerkotla City Hospital,Child,Medication,344949,2143,1770,82.59,3.1
7487,Diabetes,Amritsar,Amritsar General Care Hospital,Teenager,ICU Care,91302,823,603,73.27,2.8
7488,Malaria,Jalandhar,Jalandhar Health Point,Middle Age,Physiotherapy,168077,806,637,79.03,4.3
7489,Arthritis,Amritsar,Amritsar Life Care Centre,Young Adult,Radiotherapy,205168,4695,3768,80.26,3.8
7490,Heart Disease,Rupnagar,Rupnagar Multicare Hospital,Young Adult,Counselling,221372,1860,1423,76.51,3.9
7491,Thyroid Disorder,Amritsar,Amritsar Health Hospital,Child,Counselling,241764,3488,3169,90.85,4.3
7492,Asthma,Nawanshahr,Nawanshahr Health Centre,Young Adult,Dialysis,8791,551,396,71.87,2.8
7493,Cancer,Moga,Moga City Hospital,Child,Chemotherapy,335104,408,298,73.04,2.6
7494,Hypertension,Barnala,Barnala Prime Hospital,Adult,Medication,207948,920,750,81.52,4.2
7495,COVID-19,Barnala,Barnala Life Care Centre,Young Adult,Vaccination,167952,4461,4057,90.94,4.8
7496,Thyroid Disorder,Tarn Taran,Tarn Taran City Hospital,Middle Age,ICU Care,261244,1086,922,84.9,3.3
7497,Kidney Disease,Fazilka,Fazilka City Hospital,Child,ICU Care,209070,4752,3656,76.94,4.0
7498,Pneumonia,Pathankot,Pathankot Multicare Hospital,Young Adult,Medication,176215,3080,2748,89.22,2.9
7499,Arthritis,Firozpur,Firozpur Prime Medical Centre,Adult,Physiotherapy,48485,1872,1707,91.19,3.5
7500,Dengue,Hoshiarpur,Hoshiarpur Life Care Centre,Teenager,Medication,375758,4825,3047,63.15,3.5
7501,Liver Disease,Khanna,Khanna Multicare Hospital,Senior Citizen,Radiotherapy,62416,3958,3880,98.03,4.3
7502,Thyroid Disorder,Hoshiarpur,Hoshiarpur Civil Hospital,Middle Age,Medication,37786,3645,2301,63.13,4.2
7503,Malaria,Barnala,Barnala Prime Hospital,Middle Age,Vaccination,132288,3637,2456,67.53,2.7
7504,Arthritis,Kapurthala,Kapurthala Multicare Hospital,Middle Age,Counselling,117963,2882,2780,96.46,4.9
7505,Arthritis,Malerkotla,Malerkotla City Hospital,Young Adult,Emergency Care,25654,3049,2764,90.65,2.7
7506,Tuberculosis,Mohali,Mohali Multicare Hospital,Adult,Dialysis,206378,2329,1500,64.41,4.2
7507,Dengue,Faridkot,Faridkot Prime Hospital,Adult,Emergency Care,54874,2795,2615,93.56,4.4
7508,Malaria,Patiala,Patiala City Hospital,Child,Physiotherapy,25437,4098,2494,60.86,2.8
7509,COVID-19,Abohar,Abohar City Hospital,Young Adult,ICU Care,407668,4692,3207,68.35,4.4
7510,Typhoid,Rupnagar,Rupnagar Prime Hospital,Senior Citizen,Counselling,428790,1571,1361,86.63,3.0
7511,Heart Disease,Malerkotla,Malerkotla Multicare Hospital,Young Adult,Emergency Care,225740,690,592,85.8,2.6
7512,Asthma,Abohar,Abohar Health Centre,Young Adult,Counselling,423433,4254,3874,91.07,3.1
7513,Hypertension,Ludhiana,Ludhiana Healthcare Centre,Middle Age,Vaccination,357476,4281,4084,95.4,4.9
7514,Asthma,Amritsar,Amritsar Life Care Centre,Young Adult,Physiotherapy,89437,4905,4177,85.16,4.7
7515,Asthma,Muktsar,Muktsar Multicare Hospital,Teenager,Surgery,367251,77,50,64.94,4.3
7516,Kidney Disease,Pathankot,Pathankot Life Care Centre,Middle Age,Chemotherapy,10033,4679,2835,60.59,3.2
7517,Typhoid,Ludhiana,Ludhiana Multicare Hospital,Adult,Dialysis,295531,2583,1581,61.21,2.8
7518,Thyroid Disorder,Firozpur,Firozpur City Hospital,Young Adult,Vaccination,179497,53,35,66.04,4.6
7519,Diabetes,Mansa,Mansa Prime Hospital,Senior Citizen,Counselling,29349,2711,1741,64.22,2.9
7520,Pneumonia,Mansa,Mansa City Hospital,Adult,Chemotherapy,212057,607,563,92.75,4.0
7521,Kidney Disease,Rupnagar,Rupnagar City Hospital,Teenager,ICU Care,225188,2234,1883,84.29,4.4
7522,Heart Disease,Hoshiarpur,Hoshiarpur Multicare Hospital,Adult,Counselling,481781,3446,2229,64.68,3.5
7523,Typhoid,Hoshiarpur,Hoshiarpur Multicare Hospital,Senior Citizen,Emergency Care,469238,594,472,79.46,4.8
7524,Heart Disease,Mansa,Mansa Multicare Hospital,Middle Age,Vaccination,380314,4723,4280,90.62,3.2
7525,COVID-19,Khanna,Khanna Health Centre,Adult,Counselling,57045,2978,2343,78.68,4.3
7526,Thyroid Disorder,Tarn Taran,Tarn Taran Prime Hospital,Middle Age,ICU Care,387151,770,597,77.53,2.7
7527,Tuberculosis,Bathinda,Bathinda Multicare Hospital,Teenager,Emergency Care,399392,3919,2423,61.83,3.4
7528,Tuberculosis,Kapurthala,Kapurthala Prime Healthcare,Young Adult,Medication,173876,3572,2476,69.32,3.2
7529,Kidney Disease,Kapurthala,Kapurthala City Hospital,Senior Citizen,ICU Care,284372,3207,2829,88.21,3.8
7530,Malaria,Rupnagar,Rupnagar Multicare Hospital,Child,Surgery,123348,4752,3082,64.86,4.8
7531,Typhoid,Hoshiarpur,Hoshiarpur Prime Hospital,Child,Emergency Care,487847,2330,2256,96.82,4.3
7532,Diabetes,Firozpur,Firozpur Health Centre,Child,Chemotherapy,149956,4456,4431,99.44,3.3
7533,Kidney Disease,Kapurthala,Kapurthala Health Centre,Senior Citizen,Surgery,495528,2594,1590,61.3,3.2
7534,Typhoid,Mohali,Mohali Life Care Hospital,Middle Age,Vaccination,365357,1655,1359,82.11,4.6
7535,Dengue,Mohali,Mohali Health Centre,Senior Citizen,Physiotherapy,257456,1911,1384,72.42,2.6
7536,Asthma,Khanna,Khanna City Hospital,Young Adult,Dialysis,412145,2480,1805,72.78,3.5
7537,Arthritis,Fazilka,Fazilka Multicare Hospital,Teenager,Physiotherapy,442832,564,529,93.79,4.9
7538,Pneumonia,Ludhiana,Ludhiana Life Hospital,Middle Age,Vaccination,299716,3479,2295,65.97,3.7
7539,Diabetes,Abohar,Abohar Health Centre,Adult,Counselling,493614,74,62,83.78,4.1
7540,Dengue,Abohar,Abohar Multicare Hospital,Adult,Vaccination,40730,3862,2356,61.0,4.0
7541,Hypertension,Moga,Moga City Hospital,Child,Chemotherapy,379735,2926,2582,88.24,4.3
7542,Typhoid,Mohali,Mohali Prime Medical Centre,Senior Citizen,Vaccination,74727,614,382,62.21,4.9
7543,Heart Disease,Malerkotla,Malerkotla City Hospital,Middle Age,Medication,186639,3766,3468,92.09,4.9
7544,Diabetes,Faridkot,Faridkot Multicare Hospital,Child,Medication,406163,2153,1595,74.08,3.2
7545,Malaria,Moga,Moga Prime Healthcare,Adult,Chemotherapy,26633,3116,2788,89.47,4.7
7546,Dengue,Muktsar,Muktsar Multicare Hospital,Teenager,Physiotherapy,16399,1391,950,68.3,3.6
7547,Malaria,Kapurthala,Kapurthala Health Centre,Middle Age,Chemotherapy,300934,229,178,77.73,3.0
7548,COVID-19,Amritsar,Amritsar City Hospital,Teenager,Emergency Care,376648,3264,2017,61.8,4.9
7549,Heart Disease,Khanna,Khanna Prime Healthcare,Child,Chemotherapy,85036,2337,1933,82.71,5.0
7550,Arthritis,Hoshiarpur,Hoshiarpur Advanced Medical Centre,Teenager,Chemotherapy,344765,3863,3303,85.5,4.8
7551,Typhoid,Sangrur,Sangrur Prime Healthcare,Middle Age,Radiotherapy,495481,3129,2671,85.36,4.7
7552,Malaria,Faridkot,Faridkot Health Centre,Teenager,Radiotherapy,66214,2454,1989,81.05,3.2
7553,Liver Disease,Sangrur,Sangrur Life Care Centre,Middle Age,ICU Care,386766,338,326,96.45,3.6
7554,Dengue,Muktsar,Muktsar Multicare Hospital,Young Adult,ICU Care,182608,3646,3311,90.81,3.4
7555,Hypertension,Firozpur,Firozpur Multicare Hospital,Senior Citizen,Counselling,99102,2319,1531,66.02,3.6
7556,Dengue,Pathankot,Pathankot Multicare Hospital,Middle Age,Physiotherapy,449313,4633,3522,76.02,2.7
7557,Heart Disease,Moga,Moga Health Centre,Senior Citizen,ICU Care,262181,1752,1385,79.05,2.8
7558,Typhoid,Kapurthala,Kapurthala Prime Healthcare,Middle Age,Vaccination,131107,2176,1947,89.48,2.7
7559,Thyroid Disorder,Firozpur,Firozpur Life Care Hospital,Adult,Emergency Care,236378,2512,1962,78.11,4.9
7560,Typhoid,Hoshiarpur,Hoshiarpur Prime Hospital,Senior Citizen,Surgery,14552,1633,1047,64.12,3.8
7561,Typhoid,Mansa,Mansa Health Centre,Adult,Counselling,224244,498,402,80.72,4.2
7562,Typhoid,Fazilka,Fazilka Prime Hospital,Senior Citizen,Radiotherapy,387953,1481,897,60.57,3.3
7563,Cancer,Abohar,Abohar City Hospital,Young Adult,Emergency Care,285487,2475,1898,76.69,2.9
7564,Asthma,Jalandhar,Jalandhar Advanced Medical Centre,Young Adult,Vaccination,178255,808,756,93.56,4.3
7565,Tuberculosis,Faridkot,Faridkot City Hospital,Teenager,Surgery,74541,571,417,73.03,4.7
7566,COVID-19,Khanna,Khanna Health Centre,Middle Age,Physiotherapy,334581,4160,3810,91.59,4.6
7567,Kidney Disease,Nawanshahr,Nawanshahr City Hospital,Senior Citizen,Vaccination,351518,4219,3405,80.71,3.3
7568,Dengue,Patiala,Patiala Prime Healthcare,Adult,Medication,415692,889,786,88.41,2.5
7569,Liver Disease,Malerkotla,Malerkotla Multicare Hospital,Teenager,Counselling,222465,3843,2380,61.93,2.8
7570,Tuberculosis,Abohar,Abohar Multicare Hospital,Senior Citizen,Physiotherapy,101456,3225,2566,79.57,2.7
7571,Dengue,Bathinda,Bathinda Multicare Hospital,Young Adult,Dialysis,85832,4974,3723,74.85,4.3
7572,Arthritis,Kapurthala,Kapurthala Prime Healthcare,Teenager,Dialysis,65159,3157,3006,95.22,3.1
7573,Heart Disease,Amritsar,Amritsar Multicare Hospital,Adult,Surgery,48275,1805,1751,97.01,2.7
7574,Heart Disease,Ludhiana,Ludhiana Medical Centre,Child,Radiotherapy,319971,4300,2685,62.44,2.6
7575,Typhoid,Kapurthala,Kapurthala Multicare Hospital,Senior Citizen,Dialysis,432578,2776,2402,86.53,3.6
7576,Pneumonia,Muktsar,Muktsar Health Centre,Senior Citizen,Chemotherapy,83474,4640,3153,67.95,3.1
7577,Asthma,Nawanshahr,Nawanshahr City Hospital,Teenager,Surgery,293251,2024,1639,80.98,3.5
7578,Liver Disease,Malerkotla,Malerkotla Multicare Hospital,Middle Age,Chemotherapy,192866,4863,3967,81.58,4.1
7579,Dengue,Fazilka,Fazilka Multicare Hospital,Middle Age,ICU Care,431237,4123,2895,70.22,2.8
7580,Kidney Disease,Mansa,Mansa Multicare Hospital,Young Adult,Dialysis,228866,1210,968,80.0,2.8
7581,Typhoid,Tarn Taran,Tarn Taran Health Centre,Child,Physiotherapy,141011,2498,1899,76.02,4.6
7582,Tuberculosis,Fazilka,Fazilka Multicare Hospital,Middle Age,ICU Care,327165,288,249,86.46,2.7
7583,Liver Disease,Barnala,Barnala City Hospital,Young Adult,Emergency Care,279967,1675,1060,63.28,4.5
7584,Dengue,Bathinda,Bathinda Advanced Hospital,Young Adult,Vaccination,382748,2766,2687,97.14,4.7
7585,Heart Disease,Rupnagar,Rupnagar Prime Hospital,Young Adult,Radiotherapy,403010,2511,1904,75.83,4.8
7586,Heart Disease,Pathankot,Pathankot City Hospital,Senior Citizen,ICU Care,363780,2344,2221,94.75,2.8
7587,Typhoid,Ludhiana,Ludhiana Health Point,Young Adult,Counselling,133800,4695,4511,96.08,2.6
7588,Cancer,Fazilka,Fazilka City Hospital,Child,Physiotherapy,77555,361,262,72.58,4.9
7589,Cancer,Jalandhar,Jalandhar Life Care Hospital,Child,Physiotherapy,343390,4209,3249,77.19,2.7
7590,Pneumonia,Barnala,Barnala Life Care Centre,Child,Dialysis,157387,936,927,99.04,3.5
7591,Asthma,Faridkot,Faridkot Health Centre,Adult,Medication,5641,4452,4431,99.53,4.8
7592,Tuberculosis,Muktsar,Muktsar Prime Healthcare,Child,Counselling,33282,428,308,71.96,2.9
7593,Diabetes,Malerkotla,Malerkotla Prime Healthcare,Adult,Chemotherapy,155438,3853,3354,87.05,4.4
7594,Dengue,Pathankot,Pathankot Health Centre,Adult,Radiotherapy,466717,4407,3278,74.38,3.6
7595,Hypertension,Tarn Taran,Tarn Taran Health Centre,Child,Chemotherapy,78572,1838,1339,72.85,3.9
7596,Arthritis,Khanna,Khanna Multicare Hospital,Young Adult,Chemotherapy,239142,3610,3151,87.29,3.1
7597,Kidney Disease,Malerkotla,Malerkotla Multicare Hospital,Young Adult,ICU Care,96237,682,625,91.64,4.7
7598,Liver Disease,Gurdaspur,Gurdaspur Multicare Hospital,Middle Age,Vaccination,291013,1266,829,65.48,3.2
7599,Cancer,Jalandhar,Jalandhar Multicare Centre,Senior Citizen,Surgery,83253,2964,2526,85.22,4.9
7600,COVID-19,Fazilka,Fazilka Health Centre,Middle Age,Physiotherapy,366402,1737,1063,61.2,3.7
7601,Hypertension,Patiala,Patiala Prime Healthcare,Teenager,Dialysis,250035,219,215,98.17,3.5
7602,Typhoid,Ludhiana,Ludhiana Advanced Medical Centre,Middle Age,Physiotherapy,446266,2508,1763,70.3,4.7
7603,COVID-19,Faridkot,Faridkot Multicare Hospital,Adult,Dialysis,347929,4985,4964,99.58,3.6
7604,Malaria,Patiala,Patiala Health Centre,Child,Dialysis,428766,3451,3148,91.22,4.6
7605,Cancer,Hoshiarpur,Hoshiarpur Civil Hospital,Child,Physiotherapy,161490,1338,1198,89.54,4.5
7606,COVID-19,Faridkot,Faridkot Life Care Centre,Adult,Chemotherapy,304835,2341,1841,78.64,3.8
7607,Asthma,Moga,Moga Life Care Hospital,Senior Citizen,Surgery,428339,152,142,93.42,3.9
7608,Tuberculosis,Hoshiarpur,Hoshiarpur Advanced Medical Centre,Middle Age,Dialysis,268939,3951,2646,66.97,3.4
7609,COVID-19,Khanna,Khanna Health Centre,Adult,Dialysis,23069,1584,1452,91.67,4.1
7610,Dengue,Nawanshahr,Nawanshahr Health Centre,Young Adult,Physiotherapy,62904,104,73,70.19,3.1
7611,Thyroid Disorder,Mansa,Mansa Health Centre,Middle Age,ICU Care,21258,4052,2941,72.58,3.6
7612,Liver Disease,Sangrur,Sangrur Multicare Hospital,Adult,Medication,203579,2613,1572,60.16,4.3
7613,Liver Disease,Khanna,Khanna City Hospital,Adult,Radiotherapy,120673,2013,1560,77.5,3.5
7614,Tuberculosis,Hoshiarpur,Hoshiarpur Prime Hospital,Child,Physiotherapy,43348,683,470,68.81,4.7
7615,Diabetes,Fazilka,Fazilka Prime Hospital,Senior Citizen,Medication,7162,378,363,96.03,4.7
7616,Diabetes,Mohali,Mohali Advanced Hospital,Young Adult,Chemotherapy,73816,1416,892,62.99,3.9
7617,COVID-19,Pathankot,Pathankot Life Care Centre,Young Adult,Vaccination,406781,453,406,89.62,3.9
7618,Dengue,Amritsar,Amritsar Life Care Centre,Adult,Surgery,450272,3711,2464,66.4,4.6
7619,Pneumonia,Amritsar,Amritsar City Hospital,Adult,ICU Care,100080,2209,2153,97.46,3.7
7620,Liver Disease,Moga,Moga Life Care Hospital,Senior Citizen,Surgery,408160,1047,877,83.76,3.0
7621,Dengue,Ludhiana,Ludhiana Healthcare Centre,Young Adult,Medication,390990,3350,3064,91.46,3.8
7622,Typhoid,Malerkotla,Malerkotla Multicare Hospital,Senior Citizen,Vaccination,413337,367,266,72.48,3.7
7623,Dengue,Hoshiarpur,Hoshiarpur Civil Hospital,Child,Chemotherapy,439714,2903,1849,63.69,2.9
7624,Diabetes,Firozpur,Firozpur Multicare Hospital,Adult,Chemotherapy,71397,3843,2429,63.21,4.8
7625,Heart Disease,Abohar,Abohar Multicare Hospital,Young Adult,Surgery,351573,3551,3376,95.07,4.5
7626,Dengue,Tarn Taran,Tarn Taran Multicare Hospital,Young Adult,Vaccination,286469,3455,2848,82.43,3.7
7627,Dengue,Tarn Taran,Tarn Taran Multicare Hospital,Middle Age,Surgery,150779,1408,1361,96.66,3.3
7628,Thyroid Disorder,Amritsar,Amritsar Health Hospital,Child,Surgery,116006,3683,2747,74.59,3.0
7629,Typhoid,Fazilka,Fazilka Multicare Hospital,Senior Citizen,Surgery,14039,3938,2854,72.47,3.8
7630,Heart Disease,Mohali,Mohali Health Centre,Teenager,Dialysis,449114,4491,4106,91.43,3.1
7631,Arthritis,Muktsar,Muktsar Prime Healthcare,Teenager,Physiotherapy,461615,1762,1297,73.61,3.2
7632,Tuberculosis,Ludhiana,Ludhiana City Hospital,Young Adult,Surgery,251790,4095,3286,80.24,3.4
7633,Malaria,Kapurthala,Kapurthala Prime Healthcare,Adult,Surgery,27177,463,286,61.77,2.5
7634,Hypertension,Moga,Moga Life Care Hospital,Child,ICU Care,475399,3172,2236,70.49,4.1
7635,Liver Disease,Gurdaspur,Gurdaspur Prime Healthcare,Teenager,Counselling,117851,1738,1350,77.68,3.8
7636,Pneumonia,Rupnagar,Rupnagar City Hospital,Child,Physiotherapy,211968,4873,4238,86.97,4.2
7637,Tuberculosis,Pathankot,Pathankot City Hospital,Senior Citizen,Dialysis,337062,2925,2831,96.79,2.6
7638,Typhoid,Amritsar,Amritsar General Care Hospital,Young Adult,Emergency Care,409920,2822,2636,93.41,3.3
7639,Hypertension,Abohar,Abohar Health Centre,Middle Age,Chemotherapy,390560,4568,3018,66.07,4.8
7640,Cancer,Muktsar,Muktsar City Hospital,Senior Citizen,ICU Care,152257,2299,1641,71.38,3.5
